Name: Prteus0
Time: 2021-04-20-14-48-04-614524
{'time': '2021-04-20 14:48:04.615525', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:05.638384', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:06.656648', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:07.679218', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:08.187001', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:09.206408', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:10.232442', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:11.255372', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:12.281240', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:13.301838', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:14.327917', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:15.351176', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:16.366018', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:16.366018', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:16.366018', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-04-20 14:48:16.366018', 'dept': 0, 'm1': 0, 'm2': 0, 'm3': 0, 'm4': 0, 'm5': 0, 'm6': 0, 'Volt': 0, 'error': False, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
