NameRov: Proteus0
Time: 2021-06-08-16-48-40-399985
{'time': None, 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.372079', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.372079', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.372079', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.372079', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.873104', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.873104', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.873104', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:01.873104', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:02.374494', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:02.374494', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:02.374494', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:02.374494', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-08 16:49:02.875636', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5059528442382812, 'y': 0.5482721801757812, 'z': 9.983820922851562, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:02.875636', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5059528442382812, 'y': 0.5482721801757812, 'z': 9.983820922851562, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:02.875636', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5059528442382812, 'y': 0.5482721801757812, 'z': 9.983820922851562, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:03.377099', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5107412475585937, 'y': 0.5530605834960938, 'z': 10.156203442382813, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:03.377099', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5107412475585937, 'y': 0.5530605834960938, 'z': 10.156203442382813, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:03.377099', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5107412475585937, 'y': 0.5530605834960938, 'z': 10.156203442382813, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:03.377099', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5107412475585937, 'y': 0.5530605834960938, 'z': 10.156203442382813, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:03.877977', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5011644409179687, 'y': 0.5051765502929687, 'z': 10.115502014160155, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:03.877977', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5011644409179687, 'y': 0.5051765502929687, 'z': 10.115502014160155, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:03.877977', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5011644409179687, 'y': 0.5051765502929687, 'z': 10.115502014160155, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:04.379093', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.465251416015625, 'y': 0.5027823486328125, 'z': 10.036493359375, 'temp': 38.08294117647059}
{'time': '2021-06-08 16:49:04.379093', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.465251416015625, 'y': 0.5027823486328125, 'z': 10.036493359375, 'temp': 38.08294117647059}
{'time': '2021-06-08 16:49:04.379093', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.465251416015625, 'y': 0.5027823486328125, 'z': 10.036493359375, 'temp': 38.08294117647059}
{'time': '2021-06-08 16:49:04.379093', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.465251416015625, 'y': 0.5027823486328125, 'z': 10.036493359375, 'temp': 38.08294117647059}
{'time': '2021-06-08 16:49:04.880240', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4317325927734375, 'y': 0.5578489868164063, 'z': 9.945513696289062, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:04.880240', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4317325927734375, 'y': 0.5578489868164063, 'z': 9.945513696289062, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:04.880240', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4317325927734375, 'y': 0.5578489868164063, 'z': 9.945513696289062, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:05.381851', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4987702392578124, 'y': 0.5291185668945312, 'z': 10.089165795898436, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:05.381851', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4987702392578124, 'y': 0.5291185668945312, 'z': 10.089165795898436, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:05.381851', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4987702392578124, 'y': 0.5291185668945312, 'z': 10.089165795898436, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:05.381851', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4987702392578124, 'y': 0.5291185668945312, 'z': 10.089165795898436, 'temp': 38.224117647058826}
{'time': '2021-06-08 16:49:05.883612', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.484405029296875, 'y': 0.5506663818359374, 'z': 10.09395419921875, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:05.883612', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.484405029296875, 'y': 0.5506663818359374, 'z': 10.09395419921875, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:05.883612', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.484405029296875, 'y': 0.5506663818359374, 'z': 10.09395419921875, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:05.883612', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.484405029296875, 'y': 0.5506663818359374, 'z': 10.09395419921875, 'temp': 38.177058823529414}
{'time': '2021-06-08 16:49:06.384526', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4939818359375, 'y': 0.5961562133789062, 'z': 9.988609326171874, 'temp': 38.27117647058824}
{'time': '2021-06-08 16:49:06.384526', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4939818359375, 'y': 0.5961562133789062, 'z': 9.988609326171874, 'temp': 38.27117647058824}
{'time': '2021-06-08 16:49:06.384526', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.4939818359375, 'y': 0.5961562133789062, 'z': 9.988609326171874, 'temp': 38.27117647058824}
{'time': '2021-06-08 16:49:06.886338', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5610194824218748, 'y': 0.5530605834960938, 'z': 9.957484704589843, 'temp': 38.27117647058824}
{'time': '2021-06-08 16:49:06.886338', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5610194824218748, 'y': 0.5530605834960938, 'z': 9.957484704589843, 'temp': 38.27117647058824}
{'time': '2021-06-08 16:49:06.886338', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -1.5610194824218748, 'y': 0.5530605834960938, 'z': 9.957484704589843, 'temp': 38.27117647058824}
