NameRov: Proteus0
Time: 2021-06-10-16-42-41-590448
{'time': None, 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:10.891855', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:10.891855', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.396561', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.396561', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.396561', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.396561', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.396561', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.897519', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.897519', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.897519', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.897519', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:11.897519', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:12.398405', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:12.398405', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:12.398405', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:12.398405', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:12.398405', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:43:12.899307', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7829039428710937, 'y': 0.21308394775390624, 'z': 10.345345373535155, 'temp': 44.85941176470588}
{'time': '2021-06-10 16:43:12.899307', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7829039428710937, 'y': 0.21308394775390624, 'z': 10.345345373535155, 'temp': 44.85941176470588}
{'time': '2021-06-10 16:43:12.899307', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7829039428710937, 'y': 0.21308394775390624, 'z': 10.345345373535155, 'temp': 44.85941176470588}
{'time': '2021-06-10 16:43:12.899307', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7829039428710937, 'y': 0.21308394775390624, 'z': 10.345345373535155, 'temp': 44.85941176470588}
{'time': '2021-06-10 16:43:12.899307', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7829039428710937, 'y': 0.21308394775390624, 'z': 10.345345373535155, 'temp': 44.85941176470588}
{'time': '2021-06-10 16:43:13.401604', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7541735229492187, 'y': 0.1484405029296875, 'z': 10.235212097167969, 'temp': 44.906470588235294}
{'time': '2021-06-10 16:43:13.401604', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7541735229492187, 'y': 0.1484405029296875, 'z': 10.235212097167969, 'temp': 44.906470588235294}
{'time': '2021-06-10 16:43:13.401604', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7541735229492187, 'y': 0.1484405029296875, 'z': 10.235212097167969, 'temp': 44.906470588235294}
{'time': '2021-06-10 16:43:13.401604', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7541735229492187, 'y': 0.1484405029296875, 'z': 10.235212097167969, 'temp': 44.906470588235294}
{'time': '2021-06-10 16:43:13.401604', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7541735229492187, 'y': 0.1484405029296875, 'z': 10.235212097167969, 'temp': 44.906470588235294}
{'time': '2021-06-10 16:43:13.903966', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7900865478515624, 'y': 0.08140285644531249, 'z': 10.249577307128906, 'temp': 45.00058823529412}
{'time': '2021-06-10 16:43:13.903966', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7900865478515624, 'y': 0.08140285644531249, 'z': 10.249577307128906, 'temp': 45.00058823529412}
{'time': '2021-06-10 16:43:13.903966', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13136, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7900865478515624, 'y': 0.08140285644531249, 'z': 10.249577307128906, 'temp': 45.00058823529412}
